#Format: JPTC/2
#Tool: jptc-collect 0.1.0
#Decoder: LibRaw 0.22.2-Release
#Generated: 2026-08-18T05:15:50.452Z
#
# Every value below is as measured. No correction of any kind has been
# applied, and no black level has been subtracted. The black level belongs
# to the dark set, which is why that one is shot first.
#
#Camera: Canon EOS R5 Mark II
#ImageWidth: 8192
#ImageHeight: 5464
#ImagePixels: 44761088
#Firmware: 1.3.1
#Lens: RF35VCM
#ShutterType: 机械快门
#Compression: 佳能raw
#LongExposureNR: off (declared)
#Stabilisation: off (declared)
#
#AdcStep: 1
#LinearisationCurve: identity
#CfaPattern: RGBG
#CfaOrder: C00,C01,C10,C11 by position in the 2x2 cell, not by colour name
#RawSize: 8480x5650
#SensorBlackTag: 512
#SensorMaximum: 16383
#Pairing: Differential
#CropMosaic: 512x512
#PlanePerChannel: 256x256
#ISO: 100
#ClipSigma: 3.5
#ClipVarianceFactor: 0.9938883771107201
#ChannelOrder: R,G1,G2,B by colour. G1 shares its row with red.
# Levels are raw. No black level has been subtracted, and none is quoted:
# the black level is a measurement of its own and lives in the dark set,
# which travels in the same submission. Joining the two is an analysis
# step, and doing it here would make one entry depend on another having
# been processed first -- a rule the person shooting should not have to know.
# StdDiff is the standard deviation of A-B. Not halved, not corrected.
# StdDiffClipped is the same after the sigma clip; the unclipped value is
# kept beside it so the clip can be judged rather than trusted.
#
# ShutterSec is what LibRaw resolved the shutter to, and which EXIF field it
# took depends on the camera: ExposureTime normally, ShutterSpeedValue when
# that is missing, and for some vendors a maker-note field instead. It is also
# a float, so a stored 10/2500 comes back as 0.004000000189989805 -- that tail
# is float32 rounding, not information from the camera.
# ExposureTimeExif (0x829A) and ShutterApexExif (0x9201, APEX, t = 2^-v) are
# therefore recorded verbatim as the fractions the file holds, empty when the
# camera wrote no such field. Which of them to trust is an analysis decision.
# The two frames of a pair are grouped on an identical ShutterSec, so the
# fractions below are the ones frame A holds.
ISO,ShutterSec,ExposureTimeExif,ShutterApexExif,Aperture,Filename,FileB,N,R_Mean,G1_Mean,G2_Mean,B_Mean,R_Std,G1_Std,G2_Std,B_Std,R_MeanB,G1_MeanB,G2_MeanB,B_MeanB,R_StdB,G1_StdB,G2_StdB,B_StdB,R_StdMasked,G1_StdMasked,G2_StdMasked,B_StdMasked,R_StdDiff,G1_StdDiff,G2_StdDiff,B_StdDiff,R_StdDiffClipped,G1_StdDiffClipped,G2_StdDiffClipped,B_StdDiffClipped,R_DiffOffset,G1_DiffOffset,G2_DiffOffset,B_DiffOffset,R_Rejected,G1_Rejected,G2_Rejected,B_Rejected,R_ClipFrac,G1_ClipFrac,G2_ClipFrac,B_ClipFrac
100,0.03999999910593033,,,0,166A1619.CR3,166A1620.CR3,65536,701.1428070068359,874.9348754882812,874.8697662353516,765.6110534667969,7.813507278924008,10.646837768839614,10.757560860178833,9.801077689251091,701.1645660400391,874.8780975341797,874.8157348632812,765.581787109375,7.854168025398197,10.665472429610686,10.772657683690932,9.778211603229412,7.797464576439435,10.631202351888783,10.737853185350145,9.789309311837837,10.553594756000388,14.100544541348532,14.27376110100437,13.233160284771511,10.510156569923886,14.05132246153448,14.217530525868813,13.19192512961111,-0.021759033203125,0.0567779541015625,0.0540313720703125,0.029266357421875,42,35,39,31,0,0,0,0
100,0.02500000037252903,,,0,166A1621.CR3,166A1622.CR3,65536,630.9143981933594,740.1865081787109,740.2364501953125,671.3413848876953,6.143431684556891,8.256333644602,8.326784915708936,7.657553135692226,631.0060424804688,740.2823638916016,740.2934417724609,671.3744354248047,6.144685665797106,8.318305078385405,8.373015601848325,7.651755774443935,6.132319366555719,8.24479570238937,8.309321335834658,7.6467240985720535,8.366534229234425,11.129300224285718,11.282507444462304,10.500491665082306,8.335926403310987,11.092036974575745,11.22849932767608,10.466045500340357,-0.091644287109375,-0.095855712890625,-0.0569915771484375,-0.033050537109375,36,34,49,33,0,0,0,0
100,0.01666666753590107,,,0,166A1623.CR3,166A1624.CR3,65536,586.9040069580078,655.6491851806641,655.7425537109375,612.2582702636719,4.869495621335724,6.556929380705449,6.550648800943101,6.061670949187589,586.9139862060547,655.7452697753906,655.818115234375,612.2480926513672,4.8783228394761275,6.529549168120916,6.539807658359905,6.078122747071729,4.853819733961824,6.540213219910903,6.540554519958452,6.049530160279264,6.691318737704691,8.912153147297268,8.952122782718515,8.408441455873833,6.649112612218048,8.865523573489892,8.916430270863142,8.369087213822844,-0.009979248046875,-0.0960845947265625,-0.0755615234375,0.0101776123046875,63,53,38,45,0,0,0,0
100,0.009999999776482582,,,0,166A1625.CR3,166A1626.CR3,65536,559.0869750976562,602.2964630126953,602.4810180664062,575.0366363525391,3.9829426534175583,5.194169868953822,5.157121408337631,4.921142141864134,559.1035461425781,602.2632598876953,602.5017852783203,575.0110626220703,3.984450083006802,5.1642717650673,5.189150949181853,4.896011770000913,3.971203241350818,5.181519765911898,5.141001724314953,4.904914348744556,5.497860898719154,7.115759907634325,7.155364999549682,6.810339930401147,5.465705792215827,7.077600834137199,7.1084004900125874,6.76520072868526,-0.016571044921875,0.033203125,-0.0207672119140625,0.02557373046875,54,55,68,66,0,0,0,0
100,0.0062500000931322575,,,0,166A1627.CR3,166A1628.CR3,65536,541.7043609619141,568.8465270996094,569.0334014892578,551.6498260498047,3.2206394403087395,4.171581969138816,4.134246590989116,3.993014534453611,541.6898345947266,568.7893524169922,568.95654296875,551.6004486083984,3.21935349707781,4.12159912055323,4.142576550925488,3.9981966385971814,3.2055870353632065,4.157849980387694,4.123515290558952,3.9780798739528747,4.446352341837046,5.706368578252315,5.738857982051093,5.567850985161118,4.405950959100181,5.6628232197415524,5.704408319240846,5.521609235082468,0.0145263671875,0.0571746826171875,0.0768585205078125,0.04937744140625,83,75,59,80,0,0,0,0
100,0.004000000189989805,,,0,166A1629.CR3,166A1630.CR3,65536,530.7054443359375,547.8909606933594,548.0193634033203,537.0974578857422,2.7133377670529857,3.3421615110970366,3.335712345158144,3.3389177372494654,530.6430206298828,547.7915802001953,547.9550933837891,537.0813293457031,2.730826170968227,3.314050107354001,3.3379174395530162,3.316241787844139,2.697246566594236,3.3268181403530495,3.32308486003869,3.3248480771972613,3.7631722312108935,4.606581773245831,4.6517696395453925,4.6547547982010045,3.713551476760554,4.562560636052193,4.617880685672165,4.618131802199762,0.0624237060546875,0.0993804931640625,0.06427001953125,0.0161285400390625,127,91,63,71,0,0,0,0
100,0.0024999999441206455,,,0,166A1631.CR3,166A1632.CR3,65536,523.7998046875,534.731689453125,534.8379821777344,527.8454742431641,2.2652362570427957,2.7463175851277253,2.7538848587516913,2.9532201724131375,523.7734985351562,534.6928863525391,534.8107757568359,527.8707885742188,2.265648388276636,2.7628521503222676,2.767108996309996,2.946308369383553,2.2444736477661453,2.731302162400616,2.7424854928194335,2.9412245186112433,3.153296187703392,3.812045421889142,3.8467763283185534,4.122187717574727,3.1015274962815944,3.774847105697367,3.8130705466141785,4.089292625115539,0.02630615234375,0.0388031005859375,0.0272064208984375,-0.0253143310546875,165,90,81,76,0,0,0,0
100,0.0015625000232830644,,,0,166A1633.CR3,166A1634.CR3,65536,519.6379089355469,526.4502258300781,526.53662109375,522.1148223876953,2.0056134659614546,2.3032402155037586,2.326399061073442,2.5286847889307866,519.6496124267578,526.4442901611328,526.5157928466797,522.1209259033203,2.0037770474844825,2.3010097046222864,2.3041874579474704,2.531753518568736,1.9852794382633734,2.2841626451084234,2.3095398905827293,2.509079028121946,2.7976273706020263,3.2131868822253375,3.2362922755408303,3.543733372218958,2.7509214280121577,3.169866474040611,3.1941041003164834,3.4924402892053212,-0.0117034912109375,0.0059356689453125,0.0208282470703125,-0.006103515625,160,114,111,129,0,0,0,0
100,0.0010000000474974513,,,0,166A1635.CR3,166A1636.CR3,65536,516.9495086669922,521.367431640625,521.4184112548828,518.5281372070312,1.903757128918082,2.0407321150331534,2.042576283921071,2.2800634812994547,516.9561920166016,521.2656555175781,521.345458984375,518.50634765625,1.90934076750872,2.040891715280142,2.0605424482658727,2.282783124308985,1.8893820240693706,2.0216318779656732,2.019180312619776,2.267810458390167,2.678754189055888,2.8328182584232944,2.8706777334264713,3.192348190458417,2.646128357013473,2.784332149187489,2.8113900036536585,3.1579270489904485,-0.006683349609375,0.101776123046875,0.0729522705078125,0.02178955078125,99,165,199,86,0,0,0,0
100,0.0006249999860301614,,,0,166A1637.CR3,166A1638.CR3,65536,515.317138671875,518.0862884521484,518.1121063232422,516.2984771728516,1.8102924115038415,1.8714098970342228,1.895762924213483,2.1521314823150903,515.2430114746094,518.0236663818359,518.0673370361328,516.2492218017578,1.7983902979958786,1.8647496946081528,1.882842431828864,2.132401114480376,1.7919557296417645,1.8526686227000542,1.883150344745874,2.1345000811275407,2.514042017240221,2.614626298373643,2.648286720029723,2.995225222049588,2.4705816137045225,2.573536141895364,2.618895955330343,2.9526478278420276,0.074127197265625,0.0626220703125,0.044769287109375,0.04925537109375,158,142,93,122,0,0,0,0
