#Format: JPTC-ISOGAIN/1
#Tool: jptc-collect 0.1.0
#Decoder: LibRaw 0.22.2-Release
#Generated: 2026-08-18T05:14:10.888Z
#
# Every value below is as measured. No correction of any kind has been
# applied, and no black level has been subtracted. The black level belongs
# to the dark set, which is why that one is shot first.
#
#Camera: Canon EOS R5 Mark II
#ImageWidth: 8192
#ImageHeight: 5464
#ImagePixels: 44761088
#Firmware: 1.3.1
#Lens: RF35VCM
#ShutterType: 机械快门
#Compression: 佳能raw
#LongExposureNR: off (declared)
#Stabilisation: off (declared)
#
#AdcStep: 1
#LinearisationCurve: identity
#CfaPattern: RGBG
#CfaOrder: C00,C01,C10,C11 by position in the 2x2 cell, not by colour name
#RawSize: 8480x5650
#SensorBlackTag: 512
#SensorMaximum: 16383
#Ladder: auto-shutter
#CropMosaic: 5900x3900
#PlanePerChannel: 2950x1950
# ShutterSec is the NOMINAL time from the file. A mechanical shutter
# departs from it systematically and unreadably, which is what the
# paired-shutter ladder exists to sidestep.
# ShutterSec is what LibRaw resolved the shutter to, and which EXIF field it
# took depends on the camera: ExposureTime normally, ShutterSpeedValue when
# that is missing, and for some vendors a maker-note field instead. It is also
# a float, so a stored 10/2500 comes back as 0.004000000189989805 -- that tail
# is float32 rounding, not information from the camera.
# ExposureTimeExif (0x829A) and ShutterApexExif (0x9201, APEX, t = 2^-v) are
# therefore recorded verbatim as the fractions the file holds, empty when the
# camera wrote no such field. Which of them to trust is an analysis decision.
#
# g1/g2 = (t1/t2) * (Mean2 - BL2) / (Mean1 - BL1), with BL from the dark set.
ISO,ShutterSec,ExposureTimeExif,ShutterApexExif,Aperture,ShutterGroup,File,Channel,ColorIndex,N,Mean,Std,ClipFrac
8000,0.004999999888241291,,,1.399999976158142,0.00500000,166A1588.CR3,C01,1,5752500,2985.1981093437635,639.6048253012466,0
8000,0.004999999888241291,,,1.399999976158142,0.00500000,166A1588.CR3,C10,3,5752500,2985.1660053889614,638.1085287101588,0
8000,0.004999999888241291,,,1.399999976158142,0.00500000,166A1588.CR3,C11,2,5752500,2464.643916558018,311.9076666659156,0
10000,0.004000000189989805,,,1.399999976158142,0.00400000,166A1589.CR3,C00,0,5752500,2716.9711535853976,444.05852324966844,0
10000,0.004000000189989805,,,1.399999976158142,0.00400000,166A1589.CR3,C01,1,5752500,2984.060761581921,644.3895378908643,0
10000,0.004000000189989805,,,1.399999976158142,0.00400000,166A1589.CR3,C10,3,5752500,2985.244409039548,643.7899930978083,0
10000,0.004000000189989805,,,1.399999976158142,0.00400000,166A1589.CR3,C11,2,5752500,2464.7971667970446,321.2335877768609,0
12800,0.0031250000465661287,,,1.399999976158142,0.00312500,166A1591.CR3,C00,0,5752500,2719.2696813559323,455.893492918398,0
12800,0.0031250000465661287,,,1.399999976158142,0.00312500,166A1591.CR3,C01,1,5752500,2991.526924467623,657.1801394079525,0
12800,0.0031250000465661287,,,1.399999976158142,0.00312500,166A1591.CR3,C10,3,5752500,2991.3920655367233,655.7212062403439,0
12800,0.0031250000465661287,,,1.399999976158142,0.00312500,166A1591.CR3,C11,2,5752500,2465.7520272924817,334.393949091196,0
16000,0.0024999999441206455,,,1.399999976158142,0.00250000,166A1592.CR3,C00,0,5752500,2718.8892877879184,469.2995707856962,0
16000,0.0024999999441206455,,,1.399999976158142,0.00250000,166A1592.CR3,C01,1,5752500,2986.4941029117776,665.2108373072357,0
16000,0.0024999999441206455,,,1.399999976158142,0.00250000,166A1592.CR3,C10,3,5752500,2988.0467461103867,664.436924807093,0
16000,0.0024999999441206455,,,1.399999976158142,0.00250000,166A1592.CR3,C11,2,5752500,2464.2229790525857,350.4748734301071,0
20000,0.0020000000949949026,,,1.399999976158142,0.00200000,166A1593.CR3,C00,0,5752500,2719.267043546284,487.7830609536666,0
20000,0.0020000000949949026,,,1.399999976158142,0.00200000,166A1593.CR3,C01,1,5752500,2984.586830421556,678.3604943445273,0
20000,0.0020000000949949026,,,1.399999976158142,0.00200000,166A1593.CR3,C10,3,5752500,2987.1266077357673,678.2606739744629,0
20000,0.0020000000949949026,,,1.399999976158142,0.00200000,166A1593.CR3,C11,2,5752500,2464.0365846153845,371.16351047724777,0
25600,0.0015625000232830644,,,1.399999976158142,0.00156250,166A1594.CR3,C00,0,5752500,2730.343206779661,518.9657120103545,0
25600,0.0015625000232830644,,,1.399999976158142,0.00156250,166A1594.CR3,C01,1,5752500,3001.285734724033,709.2752469232267,0
25600,0.0015625000232830644,,,1.399999976158142,0.00156250,166A1594.CR3,C10,3,5752500,3001.8062692742287,709.1606383853704,0
25600,0.0015625000232830644,,,1.399999976158142,0.00156250,166A1594.CR3,C11,2,5752500,2470.852026770969,405.90275944705724,0
32000,0.0012499999720603228,,,1.399999976158142,0.00125000,166A1595.CR3,C00,0,5752500,2727.1657745328116,547.7574319756184,0
32000,0.0012499999720603228,,,1.399999976158142,0.00125000,166A1595.CR3,C01,1,5752500,2993.5442504997827,731.096404460712,0
32000,0.0012499999720603228,,,1.399999976158142,0.00125000,166A1595.CR3,C10,3,5752500,2994.4185887874837,731.6296870193624,0
32000,0.0012499999720603228,,,1.399999976158142,0.00125000,166A1595.CR3,C11,2,5752500,2468.6375353324643,438.81904243082494,0
40000,0.0010000000474974513,,,1.399999976158142,0.00100000,166A1596.CR3,C00,0,5752500,2725.3734910039116,583.439404963729,0
40000,0.0010000000474974513,,,1.399999976158142,0.00100000,166A1596.CR3,C01,1,5752500,2985.971549934811,762.5242953827113,0
40000,0.0010000000474974513,,,1.399999976158142,0.00100000,166A1596.CR3,C10,3,5752500,2988.128761755758,763.5968941262119,0
40000,0.0010000000474974513,,,1.399999976158142,0.00100000,166A1596.CR3,C11,2,5752500,2466.170704737071,479.6888915058738,0
51200,0.0007999999797903001,,,1.399999976158142,0.000800000,166A1597.CR3,C00,0,5752500,2731.00140408518,630.2971241678976,0
51200,0.0007999999797903001,,,1.399999976158142,0.000800000,166A1597.CR3,C01,1,5752500,2986.3906531073444,808.5194305153835,0
51200,0.0007999999797903001,,,1.399999976158142,0.000800000,166A1597.CR3,C10,3,5752500,2985.4114218166014,807.5871753726643,0
51200,0.0007999999797903001,,,1.399999976158142,0.000800000,166A1597.CR3,C11,2,5752500,2469.7079113428945,534.8279166470945,0
102400,0.00039999998989515007,,,1.399999976158142,0.000400000,166A1598.CR3,C00,0,5752500,2719.691261364624,801.9595909827391,0
102400,0.00039999998989515007,,,1.399999976158142,0.000400000,166A1598.CR3,C01,1,5752500,2972.3317037809647,999.433105657795,0
102400,0.00039999998989515007,,,1.399999976158142,0.000400000,166A1598.CR3,C10,3,5752500,2973.6381856584094,1000.0087703064729,0
102400,0.00039999998989515007,,,1.399999976158142,0.000400000,166A1598.CR3,C11,2,5752500,2464.0562725771406,736.9956164326716,0
