#Format: JPTC/2
#Tool: jptc-collect 0.1.7
#Decoder: LibRaw 0.22.2-Release
#Generated: 2026-08-21T16:30:51.725Z
#
# Unless a column and its metadata explicitly identify a correction, every
# value below is as measured. No black level has been subtracted. The black
# level belongs to the dark set, which is why that one is shot first.
#
#Camera: Panasonic DC-S1RM2
#ImageWidth: 8144
#ImageHeight: 5424
#ImagePixels: 44173056
#Firmware: 12
#Lens: none-bodycap
#ShutterType: 机械快门
#Compression: 无损压缩
#LongExposureNR: off (declared)
#Stabilisation: off (declared)
#
#AdcStep: 1
#LinearisationCurve: identity
#CfaPattern: RGBG
#CfaOrder: C00,C01,C10,C11 by position in the 2x2 cell, not by colour name
#RawSize: 8152x5432
#SensorBlackTag: 512
#SensorMaximum: 16319
#Pairing: Differential
#CropMosaic: 512x512
#PlanePerChannel: 256x256
#ISO: 3200
#ClipSigma: 3.5
#ClipVarianceFactor: 0.9938883771107201
#LowFrequencyCorrection: enabled
#LowFrequencyMethod: shared-pair-mean-robust-polynomial
#LowFrequencyDegree: 3
#LowFrequencyTileGrid: 8x8
#LowFrequencyMinimumTiles: 32
#ChannelOrder: R,G1,G2,B by colour. G1 shares its row with red.
#ChannelMapping: colour
# Levels are raw. No black level has been subtracted, and none is quoted:
# the black level is a measurement of its own and lives in the dark set,
# which travels in the same submission. Joining the two is an analysis
# step, and doing it here would make one entry depend on another having
# been processed first -- a rule the person shooting should not have to know.
# StdDiff is the standard deviation of A-B. Not halved, not corrected.
# StdDiffClipped is the same after the sigma clip; the unclipped value is
# kept beside it so the clip can be judged rather than trusted.
# When low-frequency correction is enabled, Std, StdB and StdMasked use a
# shared robust surface estimated from (A+B)/2. The same zero-mean surface
# is subtracted from A and B. Means and all A-B columns are never corrected.
# StdRaw, StdBRaw and StdMaskedRaw preserve the original spatial statistics.
# LowFreqApplied and LowFreqReason state the decision for every channel.
#
# ShutterSec uses the standard ExposureTime in seconds when present, then
# ShutterSpeedValue converted from APEX, then LibRaw as a fallback. For
# example, Leica may store both 1/80 and an APEX value that converts to
# 1/80.56. These are camera records, not a measurement of shutter travel.
# ExposureTimeExif (0x829A) and ShutterApexExif (0x9201, APEX, t = 2^-v) are
# therefore recorded verbatim as the fractions the file holds, empty when the
# camera wrote no such field, so the selected value remains auditable.
# The two frames of a pair are grouped on an identical ShutterSec, so the
# fractions below are the ones frame A holds.
ISO,ShutterSec,ExposureTimeExif,ShutterApexExif,Aperture,Filename,FileB,N,R_Mean,G1_Mean,G2_Mean,B_Mean,R_Std,G1_Std,G2_Std,B_Std,R_MeanB,G1_MeanB,G2_MeanB,B_MeanB,R_StdB,G1_StdB,G2_StdB,B_StdB,R_StdMasked,G1_StdMasked,G2_StdMasked,B_StdMasked,R_StdRaw,G1_StdRaw,G2_StdRaw,B_StdRaw,R_StdBRaw,G1_StdBRaw,G2_StdBRaw,B_StdBRaw,R_StdMaskedRaw,G1_StdMaskedRaw,G2_StdMaskedRaw,B_StdMaskedRaw,R_StdDiff,G1_StdDiff,G2_StdDiff,B_StdDiff,R_StdDiffClipped,G1_StdDiffClipped,G2_StdDiffClipped,B_StdDiffClipped,R_DiffOffset,G1_DiffOffset,G2_DiffOffset,B_DiffOffset,R_Rejected,G1_Rejected,G2_Rejected,B_Rejected,R_ClipFrac,G1_ClipFrac,G2_ClipFrac,B_ClipFrac,R_LowFreqApplied,G1_LowFreqApplied,G2_LowFreqApplied,B_LowFreqApplied,R_LowFreqRms,G1_LowFreqRms,G2_LowFreqRms,B_LowFreqRms,R_LowFreqPeakToPeak,G1_LowFreqPeakToPeak,G2_LowFreqPeakToPeak,B_LowFreqPeakToPeak,R_LowFreqTiles,G1_LowFreqTiles,G2_LowFreqTiles,B_LowFreqTiles,R_LowFreqTileResidualRms,G1_LowFreqTileResidualRms,G2_LowFreqTileResidualRms,B_LowFreqTileResidualRms,R_LowFreqReason,G1_LowFreqReason,G2_LowFreqReason,B_LowFreqReason
3200,0.003125,10/3200,,0,P1019719.RW2,P1019720.RW2,65536,720.6091003417969,871.2978210449219,873.4720153808594,756.9866485595703,43.9875697591551,56.78918584853849,56.75816174474863,45.491093823590084,720.8828735351562,870.8129425048828,873.1392059326172,757.2515258789062,43.98888811065602,56.93991616595295,56.85781417401725,45.86166198568173,43.88365804302276,56.704495715210484,56.676465640103636,45.376166060097276,43.9875697591551,56.78918584853849,56.75816174474863,45.491093823590084,43.98888811065602,56.93991616595295,56.85781417401725,45.86166198568173,43.88365804302276,56.704495715210484,56.676465640103636,45.376166060097276,62.22010462888974,80.1768559937497,80.25656369268974,64.29081009509312,61.96458726356581,79.90612279431517,79.98694162420054,63.96767567416318,-0.273773193359375,0.4848785400390625,0.3328094482421875,-0.2648773193359375,40,33,34,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,low-signal,low-signal,low-signal,low-signal
3200,0.002,10/5000,,0,P1019721.RW2,P1019722.RW2,65536,643.3700103759766,739.0938110351562,740.6683044433594,666.5357971191406,35.77956822518654,45.64995858704129,45.98007529750075,37.05901257538001,643.5114135742188,739.0825042724609,740.23095703125,666.9160461425781,35.81483953325338,45.893164770607186,45.89823884310464,36.95385290828601,35.67452323043035,45.51477899462277,45.88880739872722,36.93968648953562,35.77956822518654,45.64995858704129,45.98007529750075,37.05901257538001,35.81483953325338,45.893164770607186,45.89823884310464,36.95385290828601,35.67452323043035,45.51477899462277,45.88880739872722,36.93968648953562,50.525502847908704,64.51341647436182,64.73167872372825,52.209090135348546,50.25623634581237,64.1723537473621,64.51499148236276,51.87164412607388,-0.1414031982421875,0.0113067626953125,0.437347412109375,-0.3802490234375,47,44,31,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,low-signal,low-signal,low-signal,low-signal
3200,0.00125,10/8000,,0,P1019723.RW2,P1019724.RW2,65536,594.0337066650391,654.2575378417969,655.2331390380859,608.9056549072266,29.44523206463024,36.95011644303369,37.09028838066157,29.89426081030743,594.2973480224609,654.0540466308594,654.5927429199219,608.7783660888672,29.306910644187578,37.00149691418258,37.211878381853325,29.92312363805501,29.34455101472747,36.84033389855541,36.99947430820176,29.758492007327227,29.44523206463024,36.95011644303369,37.09028838066157,29.89426081030743,29.306910644187578,37.00149691418258,37.211878381853325,29.92312363805501,29.34455101472747,36.84033389855541,36.99947430820176,29.758492007327227,41.514527181581215,51.90712669272958,52.29638323374071,42.02464883178715,41.291944254117766,51.64020523245805,52.05359181137008,41.692268634635255,-0.263641357421875,0.2034912109375,0.6403961181640625,0.127288818359375,46,46,43,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,low-signal,low-signal,low-signal,low-signal
3200,0.000769231,10/13000,,0,P1019725.RW2,P1019726.RW2,65536,564.6037139892578,603.2579040527344,603.6734313964844,574.0063934326172,24.61581791730158,30.526936327527903,30.709455317450367,25.13656248978274,564.2031860351562,603.0824737548828,603.1856689453125,573.4576416015625,24.678455683862694,30.566932545060865,30.65574044981606,25.03768744361968,24.51209908836058,30.4554574934921,30.58152750782492,24.966990166013357,24.61581791730158,30.526936327527903,30.709455317450367,25.13656248978274,24.678455683862694,30.566932545060865,30.65574044981606,25.03768744361968,24.51209908836058,30.4554574934921,30.58152750782492,24.966990166013357,34.59021055716138,42.81878117519494,43.320484538412614,35.24323014487213,34.33016308239219,42.58090448235796,43.07170047507744,34.86542809509302,0.4005279541015625,0.1754302978515625,0.487762451171875,0.5487518310546875,57,50,48,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,low-signal,low-signal,low-signal,low-signal
3200,0.0005,10/20000,,0,P1019727.RW2,P1019728.RW2,65536,545.6416625976562,570.8748168945312,570.9057464599609,551.4871368408203,21.00675277697761,25.596988370763306,25.643366006135896,21.187776575052034,545.4921264648438,570.8397216796875,571.0147857666016,551.7611846923828,21.17418341143665,25.578410955119743,25.836035000542157,21.40221126800854,20.836536629169093,25.412381166780747,25.54390601733497,21.079220963865033,21.00675277697761,25.596988370763306,25.643366006135896,21.187776575052034,21.17418341143665,25.578410955119743,25.836035000542157,21.40221126800854,20.836536629169093,25.412381166780747,25.54390601733497,21.079220963865033,29.581587806637394,35.986663111309774,36.16231787687979,29.966169501183785,29.23174372660581,35.68789219919955,35.87883135373748,29.65925094801703,0.1495361328125,0.03509521484375,-0.109039306640625,-0.2740478515625,87,71,67,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,low-signal,low-signal,low-signal,low-signal
3200,0.0003125,10/32000,,0,P1019729.RW2,P1019730.RW2,65536,532.9609832763672,549.4827117919922,549.4659881591797,536.6986694335938,18.386853319126754,21.780013072627987,21.782922380816334,18.276271919247208,532.9156036376953,549.1256103515625,549.1352844238281,536.8330841064453,18.296555995571282,21.71064699892343,21.958381383464143,18.260443450979118,18.16680730298211,21.595592037215823,21.629207939146248,18.12137585112525,18.386853319126754,21.780013072627987,21.782922380816334,18.276271919247208,18.296555995571282,21.71064699892343,21.958381383464143,18.260443450979118,18.16680730298211,21.595592037215823,21.629207939146248,18.12137585112525,25.658653054146633,30.459590856352296,30.62283539665825,25.550904507658007,25.193278578369103,30.094108266229444,30.197408603976818,25.195686599075664,0.045379638671875,0.3571014404296875,0.3307037353515625,-0.1344146728515625,95,84,93,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,low-signal,low-signal,low-signal,low-signal
3200,0.0002,10/50000,,0,P1019731.RW2,P1019732.RW2,65536,525.2253570556641,536.0764923095703,536.1338653564453,527.6802825927734,16.44268882335511,18.942685211430796,18.936840568389183,16.17884328478446,525.2200164794922,536.2605743408203,536.5914459228516,527.7674102783203,16.497019520085946,18.994612067290003,19.19845081480319,16.34071016823883,16.202317262268437,18.755510363595622,18.747362680705542,16.003317110776425,16.44268882335511,18.942685211430796,18.936840568389183,16.17884328478446,16.497019520085946,18.994612067290003,19.19845081480319,16.34071016823883,16.202317262268437,18.755510363595622,18.747362680705542,16.003317110776425,23.076296979213552,26.572572003573526,26.693712177947376,22.7263009803706,22.60619004236141,26.164645449102473,26.314169446112224,22.31233748767013,0.005340576171875,-0.18408203125,-0.45758056640625,-0.087127685546875,106,96,96,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,low-signal,low-signal,low-signal,low-signal
3200,0.000125,10/80000,,0,P1019695.RW2,P1019696.RW2,65536,511.55723571777344,512.5827178955078,512.5452575683594,511.5582275390625,12.303357245436013,12.46559411504836,12.45947226672173,11.637541037103318,511.451904296875,512.5552673339844,512.4713592529297,511.5130615234375,12.429442524265028,12.55988679947923,12.486429494145074,11.731260536809202,11.932317833286193,12.060728773565419,12.06923257555962,11.30692417573321,12.303357245436013,12.46559411504836,12.45947226672173,11.637541037103318,12.429442524265028,12.55988679947923,12.486429494145074,11.731260536809202,11.932317833286193,12.060728773565419,12.06923257555962,11.30692417573321,17.125311487405785,17.293186548637284,17.246582822854073,16.21477516111468,16.450891448815653,16.60886453610301,16.620288713338937,15.583599735348084,0.1053314208984375,0.0274505615234375,0.0738983154296875,0.045166015625,176,155,143,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,low-signal,low-signal,low-signal,low-signal
3200,0.000125,10/80000,,0,P1019697.RW2,P1019698.RW2,65536,520.9894256591797,528.6519470214844,528.5569458007812,522.6888885498047,15.297690787642663,17.159298308746365,17.136928064141777,14.978189554651493,520.7091522216797,528.6100921630859,528.3055267333984,522.4730224609375,15.319232730115713,17.104295336992053,17.192062163166916,15.00127015995672,15.02350742567514,17.004341822809252,16.866152681220964,14.744801302558502,15.297690787642663,17.159298308746365,17.136928064141777,14.978189554651493,15.319232730115713,17.104295336992053,17.192062163166916,15.00127015995672,15.02350742567514,17.004341822809252,16.866152681220964,14.744801302558502,21.35796765359254,23.795454170001918,23.958125255209783,20.924582426629215,20.781648488723516,23.454009090578868,23.417436193581988,20.392901410260123,0.2802734375,0.0418548583984375,0.2514190673828125,0.2158660888671875,142,95,134,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,low-signal,low-signal,low-signal,low-signal
3200,0.000125,10/80000,,0,P1019733.RW2,P1019734.RW2,65536,520.4843139648438,528.0712585449219,528.0336151123047,522.1047210693359,15.180310877150628,17.174641048608663,17.09703074519863,14.771614660175022,520.4568176269531,527.8263244628906,527.8738250732422,522.0254974365234,15.401015183874069,17.000676870005492,17.062585310994304,14.911216302324801,14.96955856016712,16.78702919511355,16.765584692518797,14.497842922214215,15.180310877150628,17.174641048608663,17.09703074519863,14.771614660175022,15.401015183874069,17.000676870005492,17.062585310994304,14.911216302324801,14.96955856016712,16.78702919511355,16.765584692518797,14.497842922214215,21.18796932872277,23.905956331439736,23.891389975728057,20.716706870430162,20.718801632244716,23.404416298367984,23.356582187944667,20.184789239472735,0.027496337890625,0.24493408203125,0.1597900390625,0.0792236328125,116,111,110,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,low-signal,low-signal,low-signal,low-signal
